signal,condition,ratings,participant_ids,file
VCTK_p229_293,Proposed 1.38,"[41.0, 32.0, 32.0, 90.0, 46.0, 100.0, 36.0, 36.0, 51.0, 75.0, 72.0]","[2, 3, 5, 8, 10, 12, 13, 16, 18, 19, 21]",stim_01/prop_13.wav
VCTK_p229_293,Proposed 1.38 16kHz,"[36.0, 27.0, 17.0, 73.0, 34.0, 89.0, 34.0, 53.0, 73.0, 38.0, 71.0]","[2, 3, 5, 8, 10, 12, 13, 16, 18, 19, 21]",stim_01/prop_13_16k.wav
VCTK_p229_293,Proposed 5.51,"[39.0, 49.0, 71.0, 81.0, 62.0, 99.0, 74.0, 53.0, 80.0, 90.0, 51.0]","[2, 3, 5, 8, 10, 12, 13, 16, 18, 19, 21]",stim_01/prop_55.wav
VCTK_p229_293,Proposed 5.51 16kHz,"[37.0, 26.0, 15.0, 73.0, 57.0, 63.0, 50.0, 44.0, 71.0, 80.0, 88.0]","[2, 3, 5, 8, 10, 12, 13, 16, 18, 19, 21]",stim_01/prop_55_16k.wav
VCTK_p229_293,Lyra 3,"[14.0, 44.0, 0.0, 30.0, 49.0, 79.0, 0.0, 29.0, 61.0, 50.0, 0.0]","[2, 3, 5, 8, 10, 12, 13, 16, 18, 19, 21]",stim_01/lyra_32.wav
VCTK_p229_293,Lyra 6,"[37.0, 51.0, 49.0, 54.0, 47.0, 100.0, 51.0, 30.0, 62.0, 65.0, 49.0]","[2, 3, 5, 8, 10, 12, 13, 16, 18, 19, 21]",stim_01/lyra_6.wav
VCTK_p229_293,AudioDec,"[49.0, 77.0, 95.0, 100.0, 84.0, 100.0, 47.0, 61.0, 78.0, 70.0, 88.0]","[2, 3, 5, 8, 10, 12, 13, 16, 18, 19, 21]",stim_01/audiodec_8.wav
VCTK_p229_293,Reference,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 96.0, 100.0, 100.0, 100.0]","[2, 3, 5, 8, 10, 12, 13, 16, 18, 19, 21]",stim_01/ref.wav
VCTK_p229_293,Anchor,"[23.0, 0.0, 9.0, 0.0, 23.0, 37.0, 3.0, 21.0, 41.0, 10.0, 51.0]","[2, 3, 5, 8, 10, 12, 13, 16, 18, 19, 21]",
VCTK_p229_157,Proposed 1.38,"[78.0, 45.0, 65.0, 80.0, 41.0, 53.0, 67.0, 58.0, 79.0, 89.0]","[1, 4, 7, 10, 11, 14, 15, 18, 20, 21]",stim_02/prop_13.wav
VCTK_p229_157,Proposed 1.38 16kHz,"[82.0, 6.0, 71.0, 74.0, 50.0, 40.0, 83.0, 63.0, 42.0, 69.0]","[1, 4, 7, 10, 11, 14, 15, 18, 20, 21]",stim_02/prop_13_16k.wav
VCTK_p229_157,Proposed 5.51,"[51.0, 27.0, 71.0, 81.0, 72.0, 54.0, 88.0, 74.0, 58.0, 48.0]","[1, 4, 7, 10, 11, 14, 15, 18, 20, 21]",stim_02/prop_55.wav
VCTK_p229_157,Proposed 5.51 16kHz,"[73.0, 0.0, 46.0, 80.0, 51.0, 43.0, 87.0, 61.0, 36.0, 90.0]","[1, 4, 7, 10, 11, 14, 15, 18, 20, 21]",stim_02/prop_55_16k.wav
VCTK_p229_157,Lyra 3,"[61.0, 0.0, 44.0, 45.0, 15.0, 50.0, 74.0, 44.0, 40.0, 88.0]","[1, 4, 7, 10, 11, 14, 15, 18, 20, 21]",stim_02/lyra_32.wav
VCTK_p229_157,Lyra 6,"[75.0, 11.0, 49.0, 74.0, 29.0, 50.0, 100.0, 49.0, 47.0, 89.0]","[1, 4, 7, 10, 11, 14, 15, 18, 20, 21]",stim_02/lyra_6.wav
VCTK_p229_157,AudioDec,"[53.0, 70.0, 79.0, 83.0, 52.0, 70.0, 84.0, 80.0, 64.0, 90.0]","[1, 4, 7, 10, 11, 14, 15, 18, 20, 21]",stim_02/audiodec_8.wav
VCTK_p229_157,Reference,"[100.0, 100.0, 100.0, 100.0, 98.0, 100.0, 100.0, 100.0, 90.0, 100.0]","[1, 4, 7, 10, 11, 14, 15, 18, 20, 21]",stim_02/ref.wav
VCTK_p229_157,Anchor,"[53.0, 5.0, 30.0, 19.0, 11.0, 30.0, 20.0, 36.0, 50.0, 100.0]","[1, 4, 7, 10, 11, 14, 15, 18, 20, 21]",
VCTK_p230_126,Proposed 1.38,"[33.0, 29.0, 71.0, 60.0, 86.0, 58.0, 18.0, 63.0, 59.0, 68.0]","[2, 3, 5, 7, 9, 12, 14, 16, 18, 19]",stim_03/prop_13.wav
VCTK_p230_126,Proposed 1.38 16kHz,"[31.0, 28.0, 44.0, 72.0, 83.0, 57.0, 16.0, 52.0, 51.0, 58.0]","[2, 3, 5, 7, 9, 12, 14, 16, 18, 19]",stim_03/prop_13_16k.wav
VCTK_p230_126,Proposed 5.51,"[35.0, 62.0, 90.0, 57.0, 92.0, 100.0, 61.0, 77.0, 85.0, 74.0]","[2, 3, 5, 7, 9, 12, 14, 16, 18, 19]",stim_03/prop_55.wav
VCTK_p230_126,Proposed 5.51 16kHz,"[32.0, 51.0, 57.0, 69.0, 100.0, 100.0, 26.0, 53.0, 76.0, 75.0]","[2, 3, 5, 7, 9, 12, 14, 16, 18, 19]",stim_03/prop_55_16k.wav
VCTK_p230_126,Lyra 3,"[20.0, 12.0, 16.0, 40.0, 70.0, 1.0, 30.0, 24.0, 27.0, 34.0]","[2, 3, 5, 7, 9, 12, 14, 16, 18, 19]",stim_03/lyra_32.wav
VCTK_p230_126,Lyra 6,"[31.0, 38.0, 60.0, 48.0, 83.0, 57.0, 29.0, 33.0, 53.0, 30.0]","[2, 3, 5, 7, 9, 12, 14, 16, 18, 19]",stim_03/lyra_6.wav
VCTK_p230_126,AudioDec,"[43.0, 100.0, 100.0, 80.0, 100.0, 100.0, 100.0, 54.0, 85.0, 90.0]","[2, 3, 5, 7, 9, 12, 14, 16, 18, 19]",stim_03/audiodec_8.wav
VCTK_p230_126,Reference,"[100.0, 86.0, 100.0, 100.0, 100.0, 100.0, 100.0, 96.0, 100.0, 100.0]","[2, 3, 5, 7, 9, 12, 14, 16, 18, 19]",stim_03/ref.wav
VCTK_p230_126,Anchor,"[15.0, 0.0, 3.0, 25.0, 44.0, 39.0, 0.0, 25.0, 37.0, 20.0]","[2, 3, 5, 7, 9, 12, 14, 16, 18, 19]",
VCTK_p230_152,Proposed 1.38,"[89.0, 42.0, 58.0, 32.0, 19.0, 52.0, 57.0, 65.0, 50.0]","[1, 4, 7, 9, 11, 13, 16, 18, 20]",stim_04/prop_13.wav
VCTK_p230_152,Proposed 1.38 16kHz,"[88.0, 14.0, 26.0, 78.0, 24.0, 31.0, 38.0, 58.0, 36.0]","[1, 4, 7, 9, 11, 13, 16, 18, 20]",stim_04/prop_13_16k.wav
VCTK_p230_152,Proposed 5.51,"[100.0, 45.0, 70.0, 84.0, 100.0, 53.0, 61.0, 89.0, 58.0]","[1, 4, 7, 9, 11, 13, 16, 18, 20]",stim_04/prop_55.wav
VCTK_p230_152,Proposed 5.51 16kHz,"[100.0, 15.0, 50.0, 81.0, 68.0, 32.0, 46.0, 44.0, 46.0]","[1, 4, 7, 9, 11, 13, 16, 18, 20]",stim_04/prop_55_16k.wav
VCTK_p230_152,Lyra 3,"[35.0, 0.0, 0.0, 29.0, 11.0, 0.0, 30.0, 49.0, 12.0]","[1, 4, 7, 9, 11, 13, 16, 18, 20]",stim_04/lyra_32.wav
VCTK_p230_152,Lyra 6,"[73.0, 17.0, 51.0, 67.0, 21.0, 0.0, 41.0, 49.0, 44.0]","[1, 4, 7, 9, 11, 13, 16, 18, 20]",stim_04/lyra_6.wav
VCTK_p230_152,AudioDec,"[80.0, 6.0, 67.0, 68.0, 51.0, 77.0, 45.0, 81.0, 15.0]","[1, 4, 7, 9, 11, 13, 16, 18, 20]",stim_04/audiodec_8.wav
VCTK_p230_152,Reference,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 91.0, 100.0, 100.0]","[1, 4, 7, 9, 11, 13, 16, 18, 20]",stim_04/ref.wav
VCTK_p230_152,Anchor,"[65.0, 3.0, 24.0, 29.0, 37.0, 0.0, 19.0, 34.0, 42.0]","[1, 4, 7, 9, 11, 13, 16, 18, 20]",
