,pesq,nisqa_mos16,nisqa_mos48,visqol,lengths
0,2.484895944595337,3.8088014,3.811288,3.41309,100073
1,2.177746295928955,2.9275022,2.941191,3.41129,186153
2,2.08955454826355,3.0984771,3.0993097,3.19774,330818
3,2.0440242290496826,3.0137832,3.0117292,3.48216,220115
4,2.2392492294311523,3.0625021,3.0594466,3.15161,284129
5,2.1356170177459717,3.1336854,3.13254,3.3194,251078
6,2.094390869140625,3.6893961,3.6839895,3.66127,188434
7,2.14772891998291,3.3117359,3.3106902,3.22936,327909
8,2.309795379638672,3.0181916,3.016527,3.38324,196887
9,2.520968198776245,3.297784,3.2973292,2.93419,147685
10,1.9834526777267456,3.0703208,3.065557,3.25143,302522
11,1.9997069835662842,3.503564,3.5025632,3.7038,197716
12,2.0354418754577637,3.0801463,3.082269,3.63195,220824
13,1.9264439344406128,3.1282012,3.1253119,3.36871,213632
14,1.9238781929016113,3.4921522,3.4942796,3.53353,251842
15,2.0008904933929443,3.162018,3.1602652,3.13707,285446
16,2.0433349609375,3.5845242,3.585746,3.59487,165399
17,2.4360010623931885,3.3240802,3.32246,3.01585,260255
18,1.5315423011779785,3.1677332,3.1679275,3.1154,377608
19,2.393421173095703,2.824189,2.8263412,3.42948,194011
20,1.8612310886383057,3.1991484,3.1997883,3.26623,419171
21,1.8925269842147827,2.946406,2.9497259,3.40208,310400
22,2.169780731201172,2.8407938,2.841842,3.51613,518528
23,1.7613803148269653,3.3296647,3.3321102,2.94121,349203
24,2.0842795372009277,2.7397711,2.7409618,3.67506,77946
25,2.398766279220581,3.1394753,3.1417832,3.71882,162000
26,2.112508535385132,3.098074,3.0966208,3.77599,86271
27,2.2069666385650635,3.7050962,3.7029338,3.7129,222908
28,2.7389638423919678,3.827738,3.837741,4.06917,81969
29,1.347283959388733,2.532096,2.528305,3.52069,162036
30,2.1225197315216064,2.9434016,2.9473233,3.30296,204704
31,2.2511730194091797,2.3370545,2.3342216,3.73857,106682
32,2.1133437156677246,2.8960385,2.897938,3.2667,92293
33,2.0613791942596436,2.8266733,2.8311117,3.67268,174755
34,1.890202522277832,2.9456239,2.9423876,2.69991,171013
35,2.3107430934906006,3.6977499,3.6953661,4.08318,136747
36,2.0712525844573975,3.6660712,3.6660843,3.34094,178417
37,1.4704523086547852,3.4956791,3.4968781,3.46521,159128
38,2.0406811237335205,2.6235344,2.6179838,3.7591,92416
39,2.379607915878296,3.0210073,3.022743,3.82592,213832
40,2.026984453201294,2.9483404,2.946505,3.72604,122929
41,2.464665412902832,2.9074602,2.9075933,3.13769,114737
42,1.42717707157135,3.2639759,3.262399,3.254,177163
43,2.218905210494995,3.1179388,3.1074564,3.60422,89320
44,2.6260733604431152,2.1085875,2.1076486,3.4586,114879
45,2.36208176612854,2.0243192,2.0290182,3.50738,114405
46,2.5830793380737305,3.280624,3.2725575,3.27985,127220
47,2.414633274078369,2.7156076,2.710266,3.80293,113309
48,2.1684889793395996,3.4908965,3.4936512,3.38279,92349
49,1.5944411754608154,3.0959842,3.095231,3.28407,117662
50,2.3240509033203125,3.7282453,3.7289152,2.94402,175531
51,2.525938034057617,3.0427382,3.0492184,3.69738,149648
52,2.334343433380127,3.2223787,3.2235277,3.52429,206025
53,2.648756980895996,2.9299517,2.9330978,3.73834,147298
54,2.215514659881592,2.9194217,2.927138,3.06709,143382
55,2.2176759243011475,3.801326,3.8087113,3.41555,90178
56,2.2262682914733887,2.766894,2.765042,2.08701,105551
57,2.770611047744751,3.512284,3.513406,3.60831,106671
58,2.5318634510040283,3.7064812,3.7052777,3.94112,110777
59,2.6399471759796143,2.8202465,2.8214417,3.76689,102487
60,2.1467273235321045,2.6335192,2.6350572,3.61758,122638
61,1.8236136436462402,2.7895272,2.7977083,3.09052,143548
62,2.0429930686950684,3.0710604,3.0757878,3.41351,91375
63,2.325937271118164,3.1138804,3.1132262,3.87349,144476
